RefusalID,OrderID,RefusalReason,RefusedAmount_EGP,RefusalDateTime
1,1,Wrong address provided,681.36,2024-02-13 11:37:32
2,6,Customer phone unreachable,649.48,2025-03-12 18:42:30
3,8,Order amount higher than expected,436.87,2024-12-22 15:08:09
4,25,Customer not home at delivery time,592.07,2024-11-17 14:15:38
5,36,Customer not home at delivery time,503.56,2025-11-22 00:42:24
6,38,Customer phone unreachable,451.99,2025-10-15 22:19:13
7,40,Customer requested cancellation after dispatch,393.76,2025-03-09 17:58:52
8,56,Customer ordered from multiple places and chose another,719.5,2024-11-04 23:02:19
9,67,Customer changed their mind,622.75,2024-09-28 13:54:25
10,68,Order amount higher than expected,249.36,2025-07-19 15:40:20
11,71,Order amount higher than expected,798.1,2025-03-24 18:12:20
12,76,Wrong address provided,519.14,2025-10-15 21:16:45
13,109,Wrong address provided,537.85,2024-01-02 21:53:38
14,152,No change available for large bills,437.1,2025-09-12 16:51:07
15,155,Customer changed their mind,462.27,2025-05-01 01:34:23
16,160,Customer phone unreachable,669.99,2024-07-26 13:43:39
17,161,Order amount higher than expected,425.5,2025-04-03 14:54:48
18,165,Customer ordered from multiple places and chose another,307.89,2025-05-18 21:58:33
19,167,Customer ordered from multiple places and chose another,350.41,2025-11-13 23:27:57
20,174,Order amount higher than expected,150.59,2025-01-13 13:14:24
21,189,Customer not home at delivery time,482.45,2024-03-21 03:25:09
22,200,Customer disputes item quality without seeing it,366.44,2025-05-23 03:00:17
23,220,Customer requested cancellation after dispatch,421.2,2024-01-24 14:45:40
24,241,Customer disputes item quality without seeing it,300.99,2024-12-20 13:35:00
25,262,Customer requested cancellation after dispatch,519.07,2025-12-05 01:47:33
26,266,Wrong address provided,452.04,2024-10-07 20:09:35
27,274,Wrong address provided,398.94,2025-03-06 04:10:09
28,328,Customer disputes item quality without seeing it,507.57,2025-06-12 23:27:48
29,336,Customer requested cancellation after dispatch,379.21,2024-10-12 23:04:23
30,341,Wrong address provided,250.15,2025-06-27 23:41:49
31,371,Order amount higher than expected,559.77,2024-12-28 23:50:37
32,373,Wrong address provided,531.64,2024-03-17 19:00:09
33,378,No change available for large bills,883.64,2024-12-12 01:05:37
34,387,Customer not home at delivery time,531.95,2024-05-26 21:24:05
35,418,Order amount higher than expected,404.97,2025-09-21 22:15:17
36,421,Customer disputes item quality without seeing it,615.44,2024-01-24 22:31:38
37,445,Customer changed their mind,430.1,2024-11-22 19:38:16
38,463,No change available for large bills,321.36,2025-05-16 16:00:56
39,464,Customer ordered from multiple places and chose another,304.18,2024-11-23 15:13:22
40,467,Customer phone unreachable,512.15,2025-12-13 23:05:05
41,480,Customer not home at delivery time,555.04,2024-08-10 15:08:27
42,481,Customer requested cancellation after dispatch,519.8,2025-05-02 02:31:16
43,508,Customer phone unreachable,322.56,2025-07-08 00:49:19
44,511,Customer phone unreachable,416.24,2025-07-08 00:26:30
45,515,Address not found,399.47,2025-07-17 19:03:05
46,521,Wrong address provided,420.53,2024-09-04 20:12:43
47,546,Customer phone unreachable,452.26,2025-10-31 18:26:24
48,550,Wrong address provided,337.25,2024-06-26 11:40:50
49,551,Address not found,513.41,2024-10-01 15:07:46
50,559,Customer phone unreachable,382.76,2025-11-26 22:42:08
51,569,Customer requested cancellation after dispatch,692.55,2024-03-24 19:22:21
52,589,No change available for large bills,684.97,2025-11-15 20:24:41
53,602,Customer ordered from multiple places and chose another,225.84,2025-06-10 22:21:28
54,620,Wrong address provided,242.27,2024-01-25 20:49:28
55,623,Customer phone unreachable,609.06,2024-09-20 23:59:23
56,656,Customer not home at delivery time,600.9,2024-01-31 00:02:46
57,669,Customer ordered from multiple places and chose another,504.73,2024-10-05 00:46:38
58,676,Customer requested cancellation after dispatch,551.64,2025-02-17 15:32:01
59,683,No change available for large bills,172.94,2025-11-07 17:20:31
60,722,Customer disputes item quality without seeing it,678.64,2025-01-23 21:04:12
61,738,No change available for large bills,609.64,2024-09-16 20:50:59
62,755,Customer not home at delivery time,378.76,2024-09-04 10:06:08
63,776,Customer disputes item quality without seeing it,558.7,2025-12-12 22:34:37
64,798,Customer ordered from multiple places and chose another,531.21,2025-07-26 16:08:02
65,805,Customer ordered from multiple places and chose another,459.76,2024-11-11 22:12:27
66,813,Customer not home at delivery time,144.83,2024-01-03 23:44:53
67,817,Customer requested cancellation after dispatch,485.48,2024-11-09 23:36:32
68,850,Order amount higher than expected,481.8,2024-10-02 23:41:22
69,857,Wrong address provided,264.0,2025-02-01 22:50:02
70,871,Customer disputes item quality without seeing it,542.58,2024-03-14 19:08:52
71,876,Order amount higher than expected,371.71,2024-02-25 21:14:02
72,878,Customer requested cancellation after dispatch,172.46,2025-10-04 23:07:10
73,884,Address not found,358.53,2024-07-27 21:42:30
74,903,No change available for large bills,523.84,2025-03-06 19:08:02
75,933,No change available for large bills,222.7,2024-11-27 13:16:15
76,937,Address not found,362.51,2024-07-30 15:31:01
77,971,Customer requested cancellation after dispatch,683.31,2025-10-31 14:25:43
78,977,No change available for large bills,358.4,2024-07-26 00:44:28
79,1008,Customer not home at delivery time,452.7,2025-12-03 22:18:34
80,1009,Customer phone unreachable,614.13,2025-09-05 17:53:07
81,1020,Customer ordered from multiple places and chose another,615.75,2025-02-17 13:02:48
82,1053,Wrong address provided,299.15,2025-10-22 00:01:47
83,1070,Address not found,679.96,2024-10-20 12:19:45
84,1096,Order amount higher than expected,337.82,2025-04-23 22:53:45
85,1103,Customer disputes item quality without seeing it,211.72,2025-04-02 14:51:58
86,1106,Wrong address provided,396.6,2024-09-18 00:48:54
87,1109,Wrong address provided,156.8,2025-05-08 21:04:43
88,1141,Customer not home at delivery time,474.16,2025-07-25 13:22:14
89,1142,Customer phone unreachable,229.81,2024-08-22 16:47:06
90,1148,Wrong address provided,432.84,2024-11-15 14:38:46
91,1164,Customer phone unreachable,312.49,2025-12-31 11:37:44
92,1190,Wrong address provided,435.39,2025-12-26 21:59:07
93,1192,Wrong address provided,329.18,2024-11-19 15:26:13
94,1222,Customer disputes item quality without seeing it,444.23,2025-06-16 21:07:02
95,1234,Address not found,307.21,2025-02-27 01:05:09
96,1251,Order amount higher than expected,356.78,2025-04-24 01:19:04
97,1266,Customer ordered from multiple places and chose another,398.56,2024-08-13 14:46:30
98,1274,Order amount higher than expected,525.45,2025-02-27 22:31:56
99,1285,No change available for large bills,436.84,2025-02-26 23:56:43
100,1316,Customer phone unreachable,767.6,2024-01-12 13:29:22
101,1318,Customer disputes item quality without seeing it,678.39,2024-10-01 11:45:40
102,1336,Address not found,224.32,2025-11-21 20:25:30
103,1363,Wrong address provided,452.77,2024-10-03 13:34:08
104,1379,Customer not home at delivery time,199.4,2025-01-05 22:35:24
105,1395,Customer phone unreachable,348.05,2025-06-06 23:33:30
106,1402,Customer not home at delivery time,453.69,2024-05-11 14:44:49
107,1432,Customer changed their mind,172.81,2024-10-14 00:44:37
108,1441,Customer requested cancellation after dispatch,792.25,2025-03-05 04:51:05
109,1444,No change available for large bills,228.75,2024-12-10 13:19:04
110,1480,Customer phone unreachable,702.93,2024-12-27 22:09:55
111,1482,Order amount higher than expected,507.94,2024-08-15 00:07:54
112,1484,Customer ordered from multiple places and chose another,164.75,2025-12-12 21:50:27
113,1490,Order amount higher than expected,458.73,2024-12-27 15:13:06
114,1494,No change available for large bills,515.68,2024-07-16 15:30:42
115,1504,Customer phone unreachable,616.91,2025-12-05 01:07:08
116,1509,Customer disputes item quality without seeing it,514.39,2025-04-05 22:17:51
117,1522,Customer changed their mind,165.25,2024-11-06 20:20:43
118,1531,Order amount higher than expected,142.93,2025-01-08 21:18:11
119,1532,Customer ordered from multiple places and chose another,583.65,2025-02-06 00:55:24
120,1534,Address not found,472.0,2025-10-17 22:35:39
121,1539,Address not found,294.35,2025-02-04 00:45:09
122,1544,Wrong address provided,261.62,2025-05-02 13:17:20
123,1547,No change available for large bills,412.09,2025-07-23 00:51:13
124,1550,Customer ordered from multiple places and chose another,248.32,2024-11-07 22:51:53
125,1562,Wrong address provided,372.53,2025-06-05 19:02:40
126,1564,Wrong address provided,189.22,2025-11-12 22:48:40
127,1577,Customer not home at delivery time,220.84,2025-07-24 22:24:59
128,1595,Customer disputes item quality without seeing it,720.68,2025-03-23 19:35:22
129,1613,Order amount higher than expected,480.32,2025-04-25 21:04:27
130,1626,Wrong address provided,313.11,2024-03-28 18:09:33
131,1636,Customer changed their mind,247.49,2024-07-14 18:53:13
132,1638,Order amount higher than expected,500.21,2025-02-21 18:15:11
133,1652,Customer not home at delivery time,399.63,2025-10-13 13:51:25
134,1655,Customer disputes item quality without seeing it,425.93,2024-09-24 01:08:01
135,1659,Customer phone unreachable,405.52,2025-10-16 19:24:38
136,1661,Customer requested cancellation after dispatch,671.2,2024-09-23 01:09:01
137,1664,Customer requested cancellation after dispatch,469.21,2025-04-22 16:00:56
138,1683,Wrong address provided,155.91,2024-01-13 19:59:46
139,1692,Customer ordered from multiple places and chose another,455.78,2024-03-09 09:54:12
140,1696,Wrong address provided,672.83,2024-04-08 18:50:58
141,1700,Customer ordered from multiple places and chose another,682.14,2024-04-17 00:14:29
142,1704,Wrong address provided,714.48,2024-02-26 20:46:33
143,1705,No change available for large bills,150.78,2025-09-16 20:59:54
144,1714,Customer phone unreachable,455.79,2024-11-03 21:23:05
145,1715,Customer changed their mind,409.45,2024-12-03 20:01:18
146,1734,Customer phone unreachable,687.41,2025-10-09 21:55:00
147,1735,Customer disputes item quality without seeing it,406.59,2025-12-23 00:31:23
148,1742,Address not found,265.31,2024-12-27 15:17:20
149,1745,Address not found,516.02,2025-11-01 14:47:48
150,1768,No change available for large bills,301.36,2025-12-08 22:07:29
151,1771,Customer phone unreachable,456.18,2024-07-08 22:38:29
152,1772,Customer ordered from multiple places and chose another,407.63,2025-08-28 15:17:21
153,1777,Address not found,131.89,2025-04-09 13:29:59
154,1785,Wrong address provided,209.97,2025-04-30 13:54:06
155,1799,Wrong address provided,473.47,2025-01-18 22:55:09
156,1834,Wrong address provided,643.33,2024-11-22 22:59:08
157,1843,No change available for large bills,532.38,2025-09-24 22:20:30
158,1874,Customer requested cancellation after dispatch,381.54,2025-05-15 01:11:23
159,1886,Address not found,504.22,2025-07-26 13:56:25
160,1888,No change available for large bills,347.94,2025-08-01 01:07:16
161,1896,Customer disputes item quality without seeing it,412.15,2025-07-25 00:19:17
162,1900,Customer phone unreachable,354.26,2025-08-28 17:05:55
163,1909,Customer requested cancellation after dispatch,633.76,2025-12-21 21:24:08
164,1913,Customer phone unreachable,525.26,2025-10-19 21:03:00
165,1947,Customer phone unreachable,420.2,2024-03-20 03:57:19
166,1954,No change available for large bills,416.62,2025-09-14 14:15:55
167,1989,Customer requested cancellation after dispatch,717.39,2024-03-10 20:46:06
168,2001,Customer disputes item quality without seeing it,224.57,2024-03-09 00:44:52
169,2005,No change available for large bills,673.62,2024-10-02 13:39:30
170,2009,Customer phone unreachable,432.56,2025-05-08 15:40:59
171,2010,Customer requested cancellation after dispatch,466.09,2024-01-28 14:58:32
172,2024,Address not found,474.01,2024-09-03 20:09:19
173,2027,Customer disputes item quality without seeing it,188.59,2025-07-25 20:38:27
174,2046,Customer ordered from multiple places and chose another,521.3,2025-12-22 14:49:14
175,2060,Customer not home at delivery time,747.48,2024-04-03 15:15:03
176,2091,No change available for large bills,626.74,2025-09-06 20:44:27
177,2102,Customer requested cancellation after dispatch,372.83,2025-02-12 00:27:51
178,2120,Wrong address provided,680.98,2025-03-13 19:39:23
179,2129,Order amount higher than expected,229.7,2025-11-07 13:36:53
180,2131,Customer changed their mind,571.45,2024-05-20 20:37:39
181,2174,No change available for large bills,158.07,2025-04-22 23:47:31
182,2184,Customer phone unreachable,539.4,2024-04-12 22:41:43
183,2214,Order amount higher than expected,465.15,2025-12-22 14:16:20
184,2229,Customer requested cancellation after dispatch,621.17,2025-04-14 12:32:00
185,2245,No change available for large bills,556.64,2025-06-12 17:37:40
186,2250,Customer phone unreachable,135.41,2025-12-03 22:24:57
187,2253,Customer requested cancellation after dispatch,682.68,2025-12-01 16:20:47
188,2258,Customer ordered from multiple places and chose another,503.13,2025-05-05 22:03:33
189,2262,Customer requested cancellation after dispatch,406.38,2025-01-09 20:24:41
190,2276,No change available for large bills,631.09,2025-08-14 13:20:06
191,2284,No change available for large bills,445.1,2024-03-23 03:18:33
192,2309,Address not found,602.24,2025-08-02 00:34:18
193,2311,Customer changed their mind,227.68,2024-02-02 20:55:27
194,2315,Customer phone unreachable,254.93,2024-11-07 14:32:55
195,2330,Customer phone unreachable,253.22,2024-11-07 22:57:35
196,2336,Customer phone unreachable,713.82,2024-03-17 18:46:34
197,2346,Customer requested cancellation after dispatch,454.9,2024-06-13 17:07:46
198,2358,Wrong address provided,162.13,2025-01-23 20:38:33
199,2363,Customer disputes item quality without seeing it,491.24,2025-11-25 19:44:18
200,2368,Address not found,703.74,2025-08-06 15:34:02
201,2387,Customer ordered from multiple places and chose another,789.93,2024-03-15 02:52:27
202,2418,Customer ordered from multiple places and chose another,227.89,2025-05-18 15:22:30
203,2445,Customer requested cancellation after dispatch,209.37,2025-11-29 22:11:05
204,2455,Address not found,889.25,2025-09-12 13:28:39
205,2457,Customer requested cancellation after dispatch,668.83,2025-08-13 16:25:55
206,2458,Customer requested cancellation after dispatch,348.28,2024-08-25 21:00:32
207,2492,Customer changed their mind,306.32,2025-12-16 14:21:25
208,2493,Customer requested cancellation after dispatch,354.28,2025-01-19 14:26:48
209,2503,Wrong address provided,273.09,2024-03-31 19:41:55
210,2534,Order amount higher than expected,526.87,2024-05-05 22:27:47
211,2538,Wrong address provided,426.62,2024-12-15 00:35:59
