CompetitorMenuItemID,CompetitorID,YourItemID,CompetitorItemName,CompetitorPrice_EGP,IsOnPromotion,DateTracked
1,1,10,Falafel Plate,40.77,0,2024-01-15
2,1,10,Falafel Plate,41.28,0,2024-01-29
3,1,10,Taameya,41.56,0,2024-02-12
4,1,10,Falafel,41.79,0,2024-02-26
5,1,10,Falafel Plate,39.31,1,2024-03-11
6,1,10,Falafel Plate,36.09,1,2024-03-25
7,1,10,Falafel Plate,36.31,0,2024-04-22
8,1,10,Taameya,36.58,0,2024-05-20
9,1,10,Falafel,36.37,0,2024-06-17
10,1,10,Falafel,36.77,0,2024-07-01
11,1,10,Falafel,36.36,0,2024-07-15
12,1,10,Falafel,36.79,0,2024-07-29
13,1,10,Falafel,37.26,0,2024-08-12
14,1,10,Taameya,37.65,0,2024-08-26
15,1,10,Falafel,38.12,0,2024-09-09
16,1,10,Taameya,38.57,0,2024-09-23
17,1,10,Falafel Plate,34.94,1,2024-10-07
18,1,10,Falafel Plate,35.28,0,2024-10-21
19,1,10,Taameya,35.49,0,2024-11-04
20,1,10,Falafel Plate,36.01,0,2024-12-02
21,1,10,Falafel,36.28,0,2024-12-16
22,1,10,Falafel Plate,36.62,0,2024-12-30
23,1,10,Falafel Plate,37.15,0,2025-02-10
24,1,10,Taameya,37.46,0,2025-02-24
25,1,10,Falafel Plate,37.7,0,2025-03-10
26,1,10,Falafel Plate,38.05,0,2025-03-24
27,1,10,Falafel Plate,38.39,0,2025-04-07
28,1,10,Falafel Plate,38.9,0,2025-04-21
29,1,10,Falafel Plate,37.95,0,2025-05-05
30,1,10,Falafel,36.67,1,2025-06-16
31,1,10,Taameya,36.92,0,2025-06-30
32,1,10,Taameya,34.46,1,2025-07-14
33,1,10,Falafel Plate,31.13,1,2025-07-28
34,1,10,Falafel Plate,31.3,0,2025-08-25
35,1,10,Falafel Plate,31.76,0,2025-09-08
36,1,10,Falafel Plate,31.93,0,2025-09-22
37,1,10,Taameya,32.26,0,2025-10-06
38,1,10,Taameya,32.69,0,2025-10-20
39,1,10,Taameya,33.14,0,2025-11-03
40,1,10,Falafel Plate,33.55,0,2025-11-17
41,1,10,Falafel,33.73,0,2025-12-15
42,1,10,Falafel Plate,34.23,0,2025-12-29
43,1,28,Egyptian Bread Pudding,69.43,0,2024-01-29
44,1,28,Om Ali,67.59,0,2024-02-12
45,1,28,Om Ali Dessert,68.54,0,2024-03-11
46,1,28,Om Ali Dessert,63.47,1,2024-04-08
47,1,28,Egyptian Bread Pudding,64.16,0,2024-05-06
48,1,28,Egyptian Bread Pudding,64.84,0,2024-05-20
49,1,28,Om Ali Dessert,65.28,0,2024-06-03
50,1,28,Om Ali Dessert,66.01,0,2024-07-29
