CompetitorPlatformID,CompetitorID,PlatformID
1,1,1
2,1,2
3,1,5
4,2,1
5,2,2
6,2,3
7,3,1
8,3,5
9,4,1
10,4,2
11,4,3
12,5,1
13,6,1
14,6,2
15,7,1
16,7,2
17,7,3
18,8,1
19,8,2
20,8,3
21,9,1
22,9,5
23,9,4
24,10,1
25,11,1
26,11,5
27,11,4
28,12,1
29,12,2
30,12,5
31,13,1
32,15,1
33,15,2
34,15,5
35,16,1
36,16,2
37,17,1
38,17,2
39,17,3
40,17,5
41,18,1
42,18,4
43,19,1
44,19,2
45,19,3
46,20,1
47,20,5
48,20,4
49,21,1
50,21,2
51,21,3
52,22,1
53,22,2
54,22,5
55,23,1
56,23,2
57,24,1
58,24,2
59,25,1
60,25,2
61,25,3
62,25,4
63,26,1
64,26,2
65,26,5
66,27,1
67,27,5
68,28,1
69,28,2
70,28,3
71,28,5
72,30,1
73,30,2
74,30,5
75,31,1
76,31,2
77,32,1
78,32,5
79,33,1
80,33,2
81,33,3
82,34,1
83,34,5
84,35,1
85,35,2
86,35,5
87,36,1
88,36,5
89,38,1
90,39,1
91,39,2
92,39,3
93,40,1
94,40,5
95,41,1
96,41,5
97,42,1
98,42,2
99,42,3
100,43,1
101,43,2
102,43,3
