IngredientPriceID,IngredientID,PricePerUnit_EGP,EffectiveDate
1,1,110.0,2024-01-01
2,1,107.46,2024-02-01
3,1,138.47,2024-03-01
4,1,145.74,2024-04-01
5,1,147.68,2024-05-01
6,1,149.22,2024-06-01
7,1,152.17,2024-07-01
8,1,154.19,2024-08-01
9,1,152.67,2024-09-01
10,1,155.8,2024-10-01
11,1,157.72,2024-11-01
12,1,153.37,2024-12-01
13,1,156.85,2025-01-01
14,1,160.32,2025-02-01
15,1,174.26,2025-03-01
16,1,177.45,2025-04-01
17,1,180.87,2025-05-01
18,1,184.25,2025-06-01
19,1,186.22,2025-07-01
20,1,181.72,2025-08-01
21,1,183.81,2025-09-01
22,1,187.4,2025-10-01
23,1,190.31,2025-11-01
24,1,192.98,2025-12-01
25,2,200.0,2024-01-01
26,2,203.94,2024-02-01
27,2,251.12,2024-03-01
28,2,273.0,2024-04-01
29,2,278.53,2024-05-01
30,2,307.38,2024-06-01
31,2,311.91,2024-07-01
32,2,316.02,2024-08-01
33,2,323.33,2024-09-01
34,2,329.74,2024-10-01
35,2,337.56,2024-11-01
36,2,342.28,2024-12-01
37,2,348.58,2025-01-01
38,2,355.12,2025-02-01
39,2,396.27,2025-03-01
40,2,384.85,2025-04-01
41,2,389.33,2025-05-01
42,2,430.48,2025-06-01
43,2,437.25,2025-07-01
44,2,445.09,2025-08-01
45,2,439.76,2025-09-01
46,2,448.65,2025-10-01
47,2,454.93,2025-11-01
48,2,460.24,2025-12-01
49,3,290.0,2024-01-01
50,3,294.87,2024-02-01
51,3,369.21,2024-03-01
52,3,397.13,2024-04-01
53,3,404.91,2024-05-01
54,3,455.38,2024-06-01
55,3,465.25,2024-07-01
56,3,469.91,2024-08-01
57,3,474.75,2024-09-01
58,3,485.76,2024-10-01
59,3,481.85,2024-11-01
60,3,473.25,2024-12-01
61,3,478.47,2025-01-01
62,3,488.75,2025-02-01
63,3,528.04,2025-03-01
64,3,540.23,2025-04-01
65,3,547.35,2025-05-01
66,3,612.84,2025-06-01
67,3,628.12,2025-07-01
68,3,638.53,2025-08-01
69,3,646.07,2025-09-01
70,3,655.81,2025-10-01
71,3,664.63,2025-11-01
72,3,671.98,2025-12-01
73,4,290.0,2024-01-01
74,4,293.9,2024-02-01
75,4,357.62,2024-03-01
76,4,384.38,2024-04-01
77,4,390.95,2024-05-01
78,4,433.14,2024-06-01
79,4,440.27,2024-07-01
80,4,447.76,2024-08-01
81,4,456.76,2024-09-01
82,4,462.0,2024-10-01
83,4,468.97,2024-11-01
84,4,475.41,2024-12-01
85,4,483.36,2025-01-01
86,4,490.21,2025-02-01
87,4,547.52,2025-03-01
88,4,544.77,2025-04-01
89,4,557.05,2025-05-01
90,4,620.48,2025-06-01
91,4,631.2,2025-07-01
92,4,618.24,2025-08-01
93,4,633.56,2025-09-01
94,4,647.35,2025-10-01
95,4,657.93,2025-11-01
96,4,674.33,2025-12-01
97,5,55.0,2024-01-01
98,5,56.14,2024-02-01
99,5,71.09,2024-03-01
100,5,74.27,2024-04-01
101,5,75.96,2024-05-01
102,5,74.03,2024-06-01
103,5,75.43,2024-07-01
104,5,74.85,2024-08-01
105,5,75.87,2024-09-01
106,5,77.33,2024-10-01
107,5,78.78,2024-11-01
108,5,80.67,2024-12-01
109,5,82.34,2025-01-01
110,5,83.65,2025-02-01
111,5,92.19,2025-03-01
112,5,93.21,2025-04-01
113,5,95.54,2025-05-01
114,5,96.6,2025-06-01
115,5,97.95,2025-07-01
116,5,100.22,2025-08-01
117,5,101.78,2025-09-01
118,5,104.07,2025-10-01
119,5,106.07,2025-11-01
120,5,105.05,2025-12-01
121,6,130.0,2024-01-01
122,6,131.88,2024-02-01
123,6,161.73,2024-03-01
124,6,175.07,2024-04-01
125,6,178.71,2024-05-01
126,6,182.2,2024-06-01
127,6,185.36,2024-07-01
128,6,181.76,2024-08-01
129,6,179.81,2024-09-01
130,6,183.33,2024-10-01
131,6,187.2,2024-11-01
132,6,181.94,2024-12-01
133,6,186.17,2025-01-01
134,6,189.56,2025-02-01
135,6,203.8,2025-03-01
136,6,206.78,2025-04-01
137,6,211.32,2025-05-01
138,6,216.28,2025-06-01
139,6,214.01,2025-07-01
140,6,218.99,2025-08-01
141,6,223.22,2025-09-01
142,6,228.57,2025-10-01
143,6,234.2,2025-11-01
144,6,231.49,2025-12-01
145,7,160.0,2024-01-01
146,7,162.4,2024-02-01
147,7,206.9,2024-03-01
148,7,220.59,2024-04-01
149,7,223.53,2024-05-01
150,7,227.31,2024-06-01
151,7,232.29,2024-07-01
152,7,234.7,2024-08-01
153,7,238.2,2024-09-01
154,7,244.04,2024-10-01
155,7,248.83,2024-11-01
156,7,254.98,2024-12-01
157,7,253.52,2025-01-01
158,7,256.73,2025-02-01
159,7,274.01,2025-03-01
160,7,278.04,2025-04-01
161,7,282.95,2025-05-01
162,7,288.23,2025-06-01
163,7,286.25,2025-07-01
164,7,291.42,2025-08-01
165,7,297.58,2025-09-01
166,7,293.59,2025-10-01
167,7,297.98,2025-11-01
168,7,304.75,2025-12-01
169,8,18.0,2024-01-01
170,8,18.26,2024-02-01
171,8,20.7,2024-03-01
172,8,22.55,2024-04-01
173,8,23.0,2024-05-01
174,8,23.44,2024-06-01
175,8,25.1,2024-07-01
176,8,27.82,2024-08-01
177,8,28.28,2024-09-01
178,8,28.76,2024-10-01
179,8,29.39,2024-11-01
180,8,29.72,2024-12-01
181,8,30.3,2025-01-01
182,8,30.97,2025-02-01
183,8,31.59,2025-03-01
184,8,30.84,2025-04-01
185,8,31.37,2025-05-01
186,8,31.72,2025-06-01
187,8,38.19,2025-07-01
188,8,43.21,2025-08-01
189,8,43.65,2025-09-01
190,8,42.8,2025-10-01
191,8,43.34,2025-11-01
192,8,42.31,2025-12-01
193,9,80.0,2024-01-01
194,9,81.82,2024-02-01
195,9,98.27,2024-03-01
196,9,107.57,2024-04-01
197,9,109.63,2024-05-01
198,9,111.56,2024-06-01
199,9,113.59,2024-07-01
200,9,115.99,2024-08-01
201,9,117.6,2024-09-01
202,9,119.9,2024-10-01
203,9,122.04,2024-11-01
204,9,119.25,2024-12-01
205,9,120.93,2025-01-01
206,9,123.12,2025-02-01
207,9,124.78,2025-03-01
208,9,122.31,2025-04-01
209,9,124.53,2025-05-01
210,9,126.16,2025-06-01
211,9,129.13,2025-07-01
212,9,131.77,2025-08-01
213,9,134.6,2025-09-01
214,9,135.96,2025-10-01
215,9,138.86,2025-11-01
216,9,142.23,2025-12-01
217,10,14.0,2024-01-01
218,10,14.3,2024-02-01
219,10,16.19,2024-03-01
220,10,16.93,2024-04-01
221,10,17.2,2024-05-01
222,10,17.49,2024-06-01
223,10,19.83,2024-07-01
224,10,24.68,2024-08-01
225,10,24.17,2024-09-01
226,10,24.49,2024-10-01
227,10,25.01,2024-11-01
228,10,25.54,2024-12-01
229,10,24.79,2025-01-01
230,10,25.24,2025-02-01
231,10,25.62,2025-03-01
232,10,26.18,2025-04-01
233,10,26.74,2025-05-01
234,10,26.04,2025-06-01
235,10,29.85,2025-07-01
236,10,40.45,2025-08-01
237,10,40.96,2025-09-01
238,10,40.57,2025-10-01
239,10,39.38,2025-11-01
240,10,39.96,2025-12-01
241,11,10.0,2024-01-01
242,11,10.24,2024-02-01
243,11,11.52,2024-03-01
244,11,12.51,2024-04-01
245,11,12.75,2024-05-01
246,11,13.07,2024-06-01
247,11,14.14,2024-07-01
248,11,17.29,2024-08-01
249,11,17.19,2024-09-01
250,11,17.53,2024-10-01
251,11,17.89,2024-11-01
252,11,18.27,2024-12-01
253,11,18.53,2025-01-01
254,11,18.86,2025-02-01
255,11,19.17,2025-03-01
256,11,19.44,2025-04-01
257,11,19.29,2025-05-01
258,11,19.55,2025-06-01
259,11,18.57,2025-07-01
260,11,19.05,2025-08-01
261,11,19.47,2025-09-01
262,11,19.92,2025-10-01
263,11,19.79,2025-11-01
264,11,20.01,2025-12-01
265,12,55.0,2024-01-01
266,12,55.95,2024-02-01
267,12,64.88,2024-03-01
268,12,67.68,2024-04-01
269,12,68.67,2024-05-01
270,12,69.84,2024-06-01
271,12,70.98,2024-07-01
272,12,72.04,2024-08-01
273,12,73.05,2024-09-01
274,12,73.91,2024-10-01
275,12,74.78,2024-11-01
276,12,76.38,2024-12-01
277,12,77.39,2025-01-01
278,12,79.01,2025-02-01
279,12,80.42,2025-03-01
280,12,81.35,2025-04-01
281,12,82.44,2025-05-01
282,12,83.28,2025-06-01
283,12,84.46,2025-07-01
284,12,86.01,2025-08-01
285,12,87.03,2025-09-01
286,12,88.54,2025-10-01
287,12,90.19,2025-11-01
288,12,91.69,2025-12-01
289,13,12.0,2024-01-01
290,13,12.13,2024-02-01
291,13,13.84,2024-03-01
292,13,14.58,2024-04-01
293,13,14.76,2024-05-01
294,13,14.97,2024-06-01
295,13,17.73,2024-07-01
296,13,20.01,2024-08-01
297,13,20.35,2024-09-01
298,13,20.82,2024-10-01
299,13,21.12,2024-11-01
300,13,21.52,2024-12-01
301,13,22.04,2025-01-01
302,13,22.33,2025-02-01
303,13,22.61,2025-03-01
304,13,22.19,2025-04-01
305,13,22.61,2025-05-01
306,13,22.91,2025-06-01
307,13,27.53,2025-07-01
308,13,31.11,2025-08-01
309,13,31.73,2025-09-01
310,13,32.25,2025-10-01
311,13,32.89,2025-11-01
312,13,32.04,2025-12-01
313,14,18.0,2024-01-01
314,14,18.26,2024-02-01
315,14,20.56,2024-03-01
316,14,22.58,2024-04-01
317,14,22.98,2024-05-01
318,14,22.54,2024-06-01
319,14,21.55,2024-07-01
320,14,24.72,2024-08-01
321,14,25.32,2024-09-01
322,14,25.83,2024-10-01
323,14,26.1,2024-11-01
324,14,26.55,2024-12-01
325,14,27.18,2025-01-01
326,14,27.69,2025-02-01
327,14,27.1,2025-03-01
328,14,27.51,2025-04-01
329,14,28.14,2025-05-01
330,14,28.71,2025-06-01
331,14,33.11,2025-07-01
332,14,34.69,2025-08-01
333,14,35.54,2025-09-01
334,14,36.17,2025-10-01
335,14,36.89,2025-11-01
336,14,37.49,2025-12-01
337,15,10.0,2024-01-01
338,15,10.15,2024-02-01
339,15,11.49,2024-03-01
340,15,12.36,2024-04-01
341,15,12.61,2024-05-01
342,15,12.92,2024-06-01
343,15,15.01,2024-07-01
344,15,18.29,2024-08-01
345,15,18.12,2024-09-01
346,15,18.44,2024-10-01
