MenuItemIngredientID,ItemID,IngredientID,QuantityNeeded
1,1,3,0.250
2,1,12,0.030
3,1,13,0.010
4,1,17,0.010
5,1,45,0.005
6,1,46,0.003
7,1,47,0.003
8,1,36,0.020
9,2,4,0.300
10,2,12,0.040
11,2,13,0.010
12,2,34,0.020
13,2,45,0.006
14,2,46,0.003
15,2,47,0.003
16,2,36,0.025
17,3,1,0.300
18,3,13,0.010
19,3,45,0.006
20,3,46,0.003
21,3,47,0.003
22,3,51,0.003
23,3,36,0.025
24,4,6,0.250
25,4,12,0.030
26,4,13,0.010
27,4,45,0.005
28,4,46,0.003
29,4,47,0.003
30,4,36,0.020
31,5,3,0.150
32,5,4,0.150
33,5,1,0.150
34,5,12,0.050
35,5,13,0.015
36,5,45,0.008
37,5,46,0.004
38,5,47,0.004
39,5,36,0.030
40,6,2,0.200
41,6,13,0.010
42,6,45,0.005
43,6,46,0.004
44,6,49,0.004
45,6,53,0.025
46,6,52,0.010
47,6,36,0.030
48,7,1,0.200
49,7,13,0.010
50,7,45,0.005
51,7,46,0.004
52,7,49,0.004
53,7,53,0.025
54,7,36,0.030
55,8,8,0.350
56,8,10,0.030
57,8,13,0.015
58,8,18,0.010
59,8,45,0.006
60,8,46,0.003
61,8,36,0.025
62,9,23,0.250
63,9,13,0.010
64,9,21,0.015
65,9,45,0.005
66,9,47,0.005
67,9,36,0.020
68,10,23,0.200
69,10,24,0.050
70,10,17,0.020
71,10,18,0.015
72,10,13,0.015
73,10,45,0.005
74,10,47,0.005
75,10,36,0.040
76,11,25,0.150
77,11,26,0.150
78,11,27,0.150
79,11,34,0.030
80,11,52,0.010
81,11,13,0.020
82,11,12,0.050
83,11,45,0.008
84,11,46,0.003
85,11,36,0.025
86,12,14,0.250
87,12,11,0.100
88,12,12,0.050
89,12,13,0.015
90,12,34,0.025
91,12,36,0.030
92,12,45,0.006
93,13,27,0.250
94,13,35,0.080
95,13,2,0.150
96,13,12,0.020
97,13,13,0.010
98,13,45,0.005
99,13,36,0.020
100,14,5,1.000
101,14,26,0.080
102,14,6,0.030
103,14,12,0.030
104,14,13,0.010
105,14,45,0.005
106,14,46,0.003
107,14,47,0.003
108,14,36,0.020
109,15,9,0.350
110,15,13,0.020
111,15,52,0.015
112,15,45,0.008
113,15,36,0.025
114,16,33,0.100
115,16,21,0.020
116,16,13,0.010
117,16,45,0.003
118,17,14,0.250
119,17,33,0.050
120,17,13,0.010
121,17,21,0.015
122,17,45,0.003
123,17,36,0.015
124,18,24,0.200
125,18,33,0.060
126,18,13,0.010
127,18,21,0.015
128,18,45,0.003
129,19,60,0.100
130,19,26,0.075
131,19,11,0.030
132,19,12,0.020
133,19,17,0.010
134,19,36,0.020
135,19,45,0.004
136,20,23,0.200
137,20,24,0.050
138,20,17,0.020
139,20,18,0.015
140,20,13,0.015
141,20,45,0.005
142,20,47,0.005
143,20,36,0.040
144,21,57,0.010
145,21,44,0.010
146,22,58,0.010
147,22,44,0.010
148,23,59,0.010
149,23,44,0.010
150,24,21,0.250
151,24,44,0.030
152,25,55,0.300
153,25,44,0.030
154,26,22,0.150
155,26,55,0.150
156,26,44,0.030
157,27,56,0.020
158,27,44,0.040
159,28,29,0.100
160,28,41,0.150
161,28,42,0.050
162,28,61,0.030
163,28,44,0.050
164,28,37,0.020
165,29,62,0.150
166,29,63,0.050
167,29,39,0.080
168,29,44,0.040
169,29,36,0.020
170,30,43,0.100
171,30,44,0.040
172,30,61,0.030
173,30,36,0.025
174,30,53,0.020
175,30,40,0.020
176,31,54,0.150
177,31,44,0.060
178,31,53,0.040
179,31,37,0.030
180,32,41,0.200
181,32,44,0.060
182,32,43,0.030
183,33,3,0.400
184,33,4,0.400
185,33,1,0.400
186,33,26,0.300
187,33,12,0.080
188,33,13,0.020
189,33,11,0.100
190,33,20,0.050
191,33,16,0.050
192,33,45,0.012
193,33,36,0.060
194,34,1,0.800
195,34,26,0.400
196,34,12,0.080
197,34,11,0.100
198,34,20,0.050
199,34,16,0.050
200,34,45,0.010
201,34,36,0.060
202,35,23,0.300
203,35,24,0.200
204,35,26,0.300
205,35,27,0.200
206,35,12,0.100
207,35,13,0.020
208,35,11,0.100
209,35,45,0.010
210,35,36,0.050
211,36,2,0.180
212,36,31,1.000
213,36,20,0.020
214,36,11,0.030
215,36,12,0.020
216,36,45,0.003
217,36,36,0.010
218,37,1,0.180
219,37,31,1.000
220,37,20,0.020
221,37,11,0.030
222,37,12,0.020
223,37,45,0.003
224,37,36,0.010
225,38,2,0.300
226,38,31,1.000
227,38,20,0.020
228,38,11,0.030
229,38,12,0.020
230,38,45,0.003
231,38,36,0.010
232,39,1,0.250
233,39,43,0.050
234,39,45,0.005
235,39,46,0.003
236,39,50,0.003
237,39,36,0.040
238,40,32,0.200
239,40,34,0.080
240,40,39,0.100
241,40,45,0.003
242,40,36,0.010
243,41,32,0.200
244,41,34,0.080
245,41,39,0.100
246,41,7,0.050
247,41,45,0.003
248,41,36,0.010
249,42,32,0.200
250,42,34,0.080
251,42,39,0.100
252,42,7,0.040
253,42,1,0.040
254,42,2,0.040
255,42,45,0.003
256,42,36,0.010
257,43,1,0.120
258,43,15,0.100
259,43,36,0.030
260,43,45,0.003
261,44,2,0.120
262,44,31,0.800
263,44,15,0.100
264,44,36,0.025
265,44,45,0.003
266,45,27,0.120
267,45,34,0.020
268,45,38,0.020
269,45,36,0.010
270,45,45,0.003
271,46,20,0.100
272,46,16,0.080
273,46,11,0.080
274,46,17,0.020
275,46,21,0.010
276,46,36,0.015
277,46,45,0.003
278,47,17,0.100
279,47,11,0.050
280,47,12,0.030
281,47,64,0.040
282,47,21,0.015
283,47,36,0.020
284,47,45,0.003
285,48,20,0.080
286,48,16,0.060
287,48,11,0.080
288,48,17,0.020
289,48,29,0.050
290,48,21,0.015
291,48,36,0.020
292,48,45,0.003
293,49,1,0.150
294,49,30,1.000
295,49,33,0.025
296,49,20,0.015
297,49,11,0.020
298,49,45,0.003
299,50,2,0.150
300,50,30,1.000
301,50,33,0.025
302,50,20,0.015
303,50,11,0.020
304,50,45,0.003
305,51,6,0.150
306,51,30,1.000
307,51,12,0.020
308,51,45,0.003
309,51,36,0.010
