OrderItemID,OrderID,ItemID,Quantity,UnitPriceAtTime_EGP,DiscountApplied_EGP
1,1,4,1,275.0,10
2,2,29,1,74.67,0.0
3,2,15,1,225.0,0.0
4,3,51,2,162.5,0.0
5,3,41,1,205.21,0.0
6,4,2,2,362.5,0.0
7,5,51,1,162.5,0.0
8,6,26,1,42.5,0.0
9,6,2,1,362.5,0.0
10,6,56,1,38.3,0.0
11,7,27,1,25.5,0.0
12,7,42,1,185.31,0.0
13,8,49,1,74.57,0.0
14,8,35,1,323.0,0.0
15,8,39,1,262.5,0.0
16,9,38,1,362.5,0.0
17,9,17,1,59.88,0.0
18,9,42,3,193.89,0.0
19,9,1,1,300.0,0.0
20,10,12,1,237.5,0.0
21,11,38,1,362.5,0.0
22,11,58,1,34.0,0.0
23,11,53,2,46.52,0.0
24,11,55,1,550.0,0.0
25,12,1,3,300.0,0.0
26,12,42,1,163.46,0.0
27,12,36,1,275.0,0.0
28,13,50,2,212.5,0.0
29,14,34,1,470.94,0.0
30,14,2,1,362.5,0.0
31,14,14,1,400.0,15
32,15,20,1,79.71,10
33,15,38,2,362.5,0.0
34,15,36,1,275.0,0.0
35,15,16,2,46.02,0.0
36,16,16,1,36.39,0.0
37,16,27,1,25.5,0.0
38,16,15,1,225.0,30
39,16,6,2,325.0,0.0
40,17,36,2,275.0,0.0
41,17,13,1,250.0,0.0
42,17,43,1,90.71,0.0
43,17,1,2,300.0,0.0
44,17,26,1,42.5,0.0
45,18,14,3,400.0,15
46,18,18,1,49.33,0.0
47,19,1,1,300.0,0.0
48,19,11,1,73.99,0.0
49,19,10,4,73.19,0.0
50,19,32,3,137.5,0.0
51,20,2,2,362.5,0.0
52,20,36,3,275.0,0.0
53,21,1,3,300.0,0.0
54,21,43,1,105.31,0.0
55,21,57,1,98.79,0.0
56,22,49,1,74.57,0.0
57,22,13,1,250.0,0.0
58,22,10,3,69.07,0.0
59,22,59,1,144.15,0.0
60,22,45,2,83.83,0.0
61,23,12,3,237.5,0.0
62,24,3,1,337.5,0.0
63,24,17,2,50.84,0.0
64,24,32,1,137.5,0.0
65,25,29,1,73.29,0.0
66,25,56,1,36.7,10
67,25,52,1,154.41,0.0
68,25,21,2,50.0,0.0
69,26,54,1,114.26,0.0
70,27,10,4,73.19,0.0
71,27,49,1,84.18,0.0
72,27,21,3,50.0,0.0
73,27,50,1,212.5,0.0
74,28,11,1,62.8,0.0
75,29,33,1,1375.0,0.0
