OrderID,CustomerID,PlatformID,ZoneID,OrderStatus,OrderDate,OrderTime,Subtotal_EGP,DeliveryFee_EGP,PlatformCommissionPercent,PlatformCommissionAmount_EGP,Tip_EGP,IsCOD,WasCODRefused
1,397,1,21,Cancelled,2024-02-13,2024-02-13 10:55:32,661.36,20.0,21.81,144.24,0,1,1
2,145,3,9,Delivered,2025-01-08,2025-01-08 22:36:02,202.06,42.0,16.4,33.14,0,0,
3,266,3,21,Cancelled,2025-07-04,2025-07-04 20:30:44,608.76,20.0,17.71,107.81,30,1,0
4,289,5,19,Delivered,2024-06-21,2024-06-21 18:42:24,256.22,20.0,0.0,0.0,25,1,0
5,413,1,4,Delivered,2025-12-05,2025-12-05 01:56:15,661.22,35.0,21.84,144.41,50,0,
6,74,3,5,Delivered,2025-03-12,2025-03-12 17:15:30,627.48,22.0,18.7,117.34,20,1,1
7,308,1,6,Cancelled,2025-07-02,2025-07-02 12:21:45,529.04,30.0,22.76,120.41,0,0,
8,396,2,13,Pending,2024-12-22,2024-12-22 13:58:09,411.87,25.0,15.28,62.93,0,1,1
9,498,2,6,Delivered,2025-11-13,2025-11-13 20:25:01,596.9,30.0,15.55,92.82,30,1,0
10,71,5,19,Cancelled,2025-12-05,2025-12-05 01:35:57,527.0,20.0,0.0,0.0,50,1,0
11,391,5,20,Delivered,2025-02-22,2025-02-22 14:47:50,609.1,22.0,0.0,0.0,30,0,
12,145,2,9,Refunded,2024-08-22,2024-08-22 22:12:34,733.76,42.0,15.08,110.65,0,1,0
13,169,1,10,Cancelled,2024-04-11,2024-04-11 19:42:38,805.22,32.0,21.1,169.9,0,0,
14,435,1,30,Delivered,2024-09-05,2024-09-05 16:47:16,344.9,20.0,21.95,75.71,0,1,0
15,384,3,13,Delivered,2024-04-19,2024-04-19 17:58:31,153.96,25.0,17.46,26.88,0,0,
16,497,4,2,Delivered,2024-02-25,2024-02-25 20:54:52,534.41,28.0,12.26,65.52,0,1,0
17,357,1,22,Delivered,2024-04-15,2024-04-15 19:58:03,608.52,22.0,24.87,151.34,0,1,0
18,382,3,4,Delivered,2024-10-01,2024-10-01 19:44:39,238.76,35.0,15.95,38.08,25,0,
19,384,2,13,Delivered,2025-06-16,2025-06-16 09:27:23,458.77,25.0,17.8,81.66,0,1,0
20,253,3,3,Delivered,2025-03-13,2025-03-13 17:56:48,317.62,45.0,18.15,57.65,20,0,
21,135,3,5,Delivered,2025-04-18,2025-04-18 14:32:15,496.07,0.0,17.61,87.36,15,1,0
22,380,1,7,Delivered,2024-12-17,2024-12-17 23:39:22,301.14,25.0,24.85,74.83,15,1,0
